Date,BTC Price,ETH Price,S&P 500 Price,T-Bill (% change)
1/1/14 0:00,770.44,N/A,1782.589966,0.01
2/1/14 0:00,853.02,N/A,1859.449951,0.04
3/1/14 0:00,563.74,N/A,1872.339966,0.04
4/1/14 0:00,478.72,N/A,1883.949951,0.02
5/1/14 0:00,456.27,N/A,1923.569946,0.02
6/1/14 0:00,629.02,N/A,1960.22998,0.04
7/1/14 0:00,635.59,N/A,1930.670044,0.03
8/1/14 0:00,595.08,N/A,2003.369995,0.01
9/1/14 0:00,474.13,N/A,1972.290039,0.02
10/1/14 0:00,381.33,N/A,2018.050049,0.01
11/1/14 0:00,325.39,N/A,2067.560059,0.03
12/1/14 0:00,378.64,N/A,2058.899902,0.01
1/1/15 0:00,313.92,N/A,1994.98999,0.02
2/1/15 0:00,226.4,N/A,2104.5,0.01
3/1/15 0:00,258.74,N/A,2067.889893,0.02
4/1/15 0:00,246.55,N/A,2085.51001,0.02
5/1/15 0:00,232.12,N/A,2107.389893,0
6/1/15 0:00,223.31,N/A,2063.110107,0.02
7/1/15 0:00,257.66,N/A,2103.840088,0.01
8/1/15 0:00,280.04,N/A,1972.180054,0.03
9/1/15 0:00,227.35,1.36,1920.030029,0.01
10/1/15 0:00,237.57,0.65,2079.360107,0
11/1/15 0:00,325.08,0.99,2080.409912,0.01
12/1/15 0:00,362.73,0.87,2043.939941,0.19
1/1/16 0:00,434.46,0.92,1940.23999,0.15
2/1/16 0:00,371.25,2.17,1932.22998,0.19
3/1/16 0:00,433.64,7.59,2059.73999,0.29
4/1/16 0:00,417.01,11.63,2065.300049,0.2
5/1/16 0:00,453.04,8.76,2096.949951,0.11
6/1/16 0:00,536.42,13.83,2098.860107,0.27
7/1/16 0:00,676.52,12.23,2173.600098,0.24
8/1/16 0:00,607.37,11.04,2170.949951,0.2
9/1/16 0:00,571.69,12.21,2168.27002,0.27
10/1/16 0:00,613.93,13.21,2126.149902,0.25
11/1/16 0:00,729.27,10.75,2198.810059,0.24
12/1/16 0:00,753.25,8.44,2238.830078,0.32
1/1/17 0:00,997.69,8.14,2278.870117,0.5
2/1/17 0:00,987.35,10.71,2363.639893,0.5
3/1/17 0:00,1230.02,17.55,2362.719971,0.46
4/1/17 0:00,1089.51,50.6,2384.199951,0.73
5/1/17 0:00,1402.08,77.53,2411.800049,0.67
6/1/17 0:00,2452.18,220.7,2423.409912,0.82
7/1/17 0:00,2460.2,261,2470.300049,0.96
8/1/17 0:00,2735.59,225.9,2471.649902,1
9/1/17 0:00,4950.72,391.42,2519.360107,0.96
10/1/17 0:00,4394.64,303.95,2575.26001,0.95
11/1/17 0:00,6750.17,289.42,2584.840088,1.06
12/1/17 0:00,10859.56,461.58,2673.610107,1.14
1/1/18 0:00,13412.44,756.2,2823.810059,1.28
2/1/18 0:00,9052.58,1026.19,2713.830078,1.41
3/1/18 0:00,10907.59,869.87,2752.01001,1.5